savjetodavno tijelo	advisory body
usna harmonika	mouth-organ
stoCarska proizvodnja	livestock breeding
ciljno vrijeme isporuke	delivery time target
predenje	spinning
nacionalno-internacionalno osjeGanje	national-international feelings
ambasadama	embassies
jurnuti	spring
upravni zakonik	administrative code
brzina prijenosa bita	bit transfer rate
divlja kruSka	common pear tree
neizrazit	fuzzy
ministarstva	ministry
figure oronulosti	figures of decrepitude
loSe	scarecrow
udvostruCiti	double
prijenosni omjer	gear ratio
namatofauna	nematofauna
ministarstvo	ministry
carinsko podruCje	customs territory
teret vangabaritnih dimenzija	oversize cargo
mljekara	dairy plant
u Sali	tongue in cheek
obratiti	reduce
jedinica za dodjeljivanje	allocation unit
sinusa	sinuses
morfo-sintaktiCki kriterij	morpho-syntactic criteria
glikogensko tijelo	glycogen body
abu dhabi	abu dhabi
zagovara	upholds
nastanjen	settled
priljev kapitala	cash flow
dvoliCan	shuffling
optiCka mreZna jedinica	optical network unit
intervali	interval
grejp sok	grapefruit juice
organizacija rada	work organization
u zagrebu	in zagreb
zastarjele (poruke)	obsoletes
ne voljeti	loathe
prednapon	prestress
suCelje sustava malih raCunalnih sustava	small computer system interface
izravno oZiCenje	wrapped wiring
upala	staleness
netestiran	untested
signal kojem opseg stalno varira	analog
referentni kod	reference code
bregasta osovina	camshaft
pokondiren	pursy
pokazuje prema dolje	down-pointing
pravosudan	justice
tranzicijska strategija	transitional strategy
dicikliCka grupa	dicyclic group
radni odnos	employment
zatvoriti se	shut
jeziCni prevodilac	language translator
elektron-fonon vezanje	electron-phonon coupling
razumljivost	perspicuity
ljubitelj Citanja	reader
od prije	from before
masovni pozivi	mass calling
meDunarodni ugovori	international treaties
ortodoksan	orthodox
optiCka emisijska spektrometrija	optical emission spectroscopy
kratak signal	burst
otvoriti akreditiv	issue a letter of credit
sudaCka pogreSka	referee's mistake
otvaranje radnog podruCja	opening directory
antiseptik	antiseptic
hormonalne tablete	hormonal pills
Supljoglavac	buffer
nesustavni kod	non-systematic code
drZavni praznik	public holiday
temeljni jezik	kernel language
suradnja meDu druStvima	inter-company cooperation
zamijeni	swap
pristojba za licencu	license fee
vitezova	knights
zemljiSna Cestica	plot
funkcionalna skupina posluZitelja usmjeravanja	route server functional group
otkupiti zajam	to purchase a loan
vitezovi	knights
ukrutiti se	stiffen
kvantitativna metodologija	quantitative methodology
barSunast	velvety
piton (zmija)	python
sferno pakiranje	sphere packing
digitalni video disk	digital video disk
Cimbenik rasprSenja	spreading factor
javna uprava	public administration
bijesno	furiously
ja Gu te voljeti zauvijek	i will love you forever
provjera okomite zalihosti	vertical redundancy check
krupje	croupier
usporednost	parallelism
laZirati rezultat	fix a score
administrativno izvrSenje	administrative execution
velika poteSkoGa	major difficulty
autorica	author
kongo	congo
ravan (drZanje tijela)	set-up
laZno prikazivati	misrepresent
ekstradicija	extradition
utvrDivanje kriterija kvalitete	policing
vreGasti filtar	baggy filter
namjere	intentions
eksternaliziranje	outsourcing
protuzakonitost	malfeasance
najkraGe vrijeme pristupa	minimum latency
prezasiGenost	tiredness
obiCna hobotnica	octopus
maDarica	magyar
program za Citanje novosti	newsreader
zaCepiti	wad
hepatociti	hepatucyte
olimpijske igre	olympic games
osiguranje kvalitete	quality assurance
pravna sposobnost	capacity to have rights and obligations
postupak Citanja znakova napisanih grafitnom olovk	mark sensing
indignirati se	be indignant
koji se moZe zabaciti	hinged
bolniCki odjel	infirmary
funkcija izvodnica	probability generating function
gubiti boju	tarnish
uzet kao norma	fiducial
duboka pukotinska Zila	true fissure vein
prasak	snap
producent	producer
zemlje wGmu-a	wGmu countries
speleolozi ukljuCeni odjednom	cavers engaged once
organska tvar	organic carbon
tinjalica za zapis zvuka	Golight
bioloSki aktivatori	biological activators
biatlon	biathlon
ir spektar	ir spectrum
turist	tourist
ageostrofiCko gibanje	ageostrophic motion
cjelobrojni ostatak dijeljenja	modulo
maksimalno naprezanje	ultimate stress
u ovom	hereunder
kako je gore utvrDeno	as defined above
opasnost oluje	storm peril
ne dovodeGi u pitanje	without prejudice to
nenastanjen	unsettled
tvornica za sklapanje	assembly plant
Zalostan	wretched
popravljati	service
poremetiti se	unsettle
trovatelj	poisoner
kombinirani transport	combined transport
otkazati	renege
bljeStavilo	radiance
vjerojatnost blokiranja	blocking probability
Camac za spas	life boat
klasifikacija	classify
luteolin	luteolin
etiCko-politiCki Zivot	ethico-political life
listanje naziva datoteka sa	list file names with
fonetski sustav	phonetic system
akutne zarazne bolesti	acute infectious diseases
prijepodnevni	antemeridian
instalater	plumber
preveden	translated
rezultati	successes
morski svijet	marine life
probuSen	punctured
tiskanje Sirinom stranice	portrait printing
opjevanih	celebrated
zraCnost	clearances
brzina apsorbirane doze	absorbed dose-rate
uglavniCen	capitalised
kolesterol	cholesterol
standard crvene knjige	red book standard
luke	ports
kvantitativan	quantitatively
naroCitost	speciality
olakSana	facilitated
svjedoCe	testimony
tonski signali napredovanja poziva (npr. signali b	call progress tones
nesretnost	infelicity
glibav	sludgy
korekcija raCuna uslijed nagiba broda	list correction
provjeravanje gramatike	syntax checking
odjevna industrija	garment industry
migracijska politika zajednice	community migration policy
muzejima	museums
sloZena kamata	compound interest
tekstilno mehaniCko inZenjerstvo	textile mechanical engineering
podlegnuti	succumb
produljiti	extend
bioloSko odreDivanje	bioassay
delta modulacija s kontinuirano promjenjivom strmi	continuously variable slope dm
zbornik radova s konferencije	conference proceedings
pire	puree
zaoStriti	taper
nanovo napisati	rewrite
izuti	take off
vanjski izgled	physiognomy
rastezati	strech
drskost	sauce
obraditi	work
ozljeda glave	head injuries
prsten sa znakom	token ring
u obliku cijevi	tubular
jardasov rjeCnik	jardas' dictionary
koeficjent difuzije	the effective diffusion coefficient
signal svjetlo	signal light
posluga u sobi	room service
onaj koji prihvaGa pobjede	taker
hematopoetska	hematopoietic
ekohistorija	ecohistory
trgovina istok-zapad	east-west trade
zahvatiti	take hold
kvalitativno vrednovanje	qualitative evaluation
protokol za dinamiCko konfiguriranje raCunala	dynamic host configuration protocol
uliCna voZnja	street race
ispraZnjenje prijestolja	demise
faktor rasprSenjaspreading sequence	spreading factor
skinu krat vez	unshort
gubitci prijenosa (radijskog signala)	path loss
preuzimanju	undertaken
raspoznavanje slika	image recognition
polinomska matrica	polynomial matrix
raziGi se	scatter
pogreSno razum	misread
stupanj budnosti	arousal level
fluktuiranje valencije	valence fluctuators
aluminijeva slitina	the aluminium alloy
skupina govora	group of speeches
biti u paketima	to be packed
ispis (skupa naredaba)	script
kabina operatora (dizalica)	crane cabin
instinktivno ponaSanje	instinctive behaviour
sok za razrjeDivanje	juice from concentrate
abutilon	abutilon
zaduZenosti	indebtedness
obraDene povrSine	farm land
povikala	shout
podruCje sloboda, sigurnosti i pravde	area of freedom, security and justice
naratologija	narratology
besciljan	driftless
nezbrinut	abandoned
neuka	unlearned
nezakonita aktivnost	illegal activity
leptir kravata	bow-tie
metoda smanjenja samopridrZaja	reducing retention method
karma	karma
zoonoze	zoonoses
pripadak	accessories
zoonoza	zoonosis
ploCast	laminated
dezorijentacija	disorientation
cerada	tarpaulin
slobodan provoz	free transit
elektrooptiCki modulator	electro-optic modulator
nisko	lowly
puknuti	rift
foot and mouth disease	slinavka i Sap
mijeSanje postaja	jamming
potenciometrijsko odreDivanje	potentiometric determination
antifrikcijsko sredstvo	sliding agent
novi genotipovi	new genotypes
otrov, toksin	toxin
prohodnost	porosity
riskantan	risky
oslobaDanje	trip out
nagib zemljiSta	slope of ground
arizonska  agava	new  river agave
rubno filtriranje	edge filtering
utrapiti	foist
pjeSaCka zona	pedestrian zone
kupast	tapered
ako to bude potrebno	if necessary
autoelektriCar	automobile electrici
web posluZnik	web server
volontiranje	volunteer work
otkriGa	discoveries
naseljavanje	population
detaljni opis	specification
odnos majke i djeteta	mother-child relationship
redoslijed kruZenja	routing slip
globalno zagrijavanje	global warming
kompozita	composites
na isti naCin	same
svemira	universe
laskavost	blandness
i dalje ostao	remained
mostovima	bridges
povjeravali	entrusted
komutacijski Cvor	switching node
bljuvati	vomit
upornost	zip
vodeni krevet	water-bed
samoregistracija	self-recording
jezik vremenski uredovnih specifikacija	language of temporal ordering specifications
pijenje	potation
zbrajalo	adder
oZivljen	revitalized
prekrasno	delightful
locirati	pinpoint
Zelim uCiti engleski	i want to learn english
multipleksni naCin	multiplex mode
prekrasni	beautiful
alergiCan	allergic
govorenje	spiel
prekrasne	breathtaking
prekrasna	lovely
neGu	won't
raskrSGe	junction
larinks	larynx
padaline	rainfall
arsenopirit	arsenopyrite
pomoGni obradnik	back-end processor
metode raCunanja	methods of computation
pun rebara ili Zilica	venous
neGe	won't
slabo opremljen	ill-equipped
otisnut	printed
Cetverovalno mijeSanje	four wave mixing
nasljedna dobit	reversionary bonus
novi materijali i tehnologije	new materials and technologies
izrabljen	exploited
obraCunati se	quits
podreDeni	subordinate
zadana baza podataka	default database
ovisnost o drogama	drug addiction
aktivni vrijednosni papiri	active securities
introventan	introvent
neuzbudljiv	inexcitable
podpredsjednik	vice-president
paralelni algoritmi	parallel algorithms
odziv na jediniCni impuls	weighting function
prelijevanje boja	undertone
dekompresija (operacija suprotna saZimanju)	decoding gate
pljeskavica punjena sirom	hamburger steak stuffed with cheese
sklizak	slippery
butandion monoksim	endothelium
glavnokomandujuGi	commander in chief
vratiti natrag	reduce
poprijeko pogledati	glower
Soping centar	mall
elektromagnetski Sum	electromagnetic noise
koji se moZe ponovno pronaGi	retrievable
krletka	mew
analiziranje rudaCe	assaying
konvalidirati	convalidate
japanski koto	japanese koto
privjesci	pendants
razvojni potencijal	development potential
pulover	sweater
zakljuCno	inclusive
posebni omot	cover letter
identifikator plana numeriranja	numbering plan identifier
profesor	teacher
okretni Cep	pivot bolt
elektromotorna sila	electromotive force
velika sjenica	great tit
cdma kanal	cdma channel
dr.sc.	phd
nekompletan	incomplete
sluZbeni standardi protokola internet	internet official protocol standards
rudimentaran	rudimentary
odnos regija i eu-a	region-eu relationship
sporedno zanimanje	side line
ravnati se prema	to be governed by
telal	crier
zreti	ripen
neizjednaCen	unbalanced
optoelektroniCka mjerenja	opto-electronic
telad	calves
istodobno odaSiljati isti radijski signal s viSe o	simulcast
kompatibilni	compatible
diseminirani encefalomijelitis	disseminated encephalomyelitis
Carobna lampa	projector
stalne struje	steady currents
intervencijska radiologija	interventional radiology
navigacijska oprema	navigational equipment
kaSnjenje u prstenu (pri jednom obilasku signala)	ring latency
glava stupa	column capitel
poput bisera	pearly
koji tumaCi	expository
sjeverozapadna engleska	north-west england
virtualni svijet	virtual world
istinitostna vrijednost	truth value
drugi nego	other than
transeuropske veze	trans-european links
potomaka	descendants
carinska procjena	customs valuation
poliglotski	polyglot
grijeSan	sinful
izbornike	menus
horisfera	horysphere
izbornika	menus
kurdsko pitanje	kurdistan question
paratetis	paratethys
prenapuniti	glut
virtualni kanal	virtual circuit
financijska suradnja	financial cooperation
prijemljiv	recipient
depresivni simptomi	depressive symptoms
programa i instrukcija	job
obrada drva	woodworking
diferencijalna fazna modulacija	differential phase-shift keying
nadomjeStanje dijelova tijela	prosthesis
hermafroditizam	hermaphroditism
glavnih	the major
model stroja	model machine
marSirati u koloni	file
skokovi pojaCanja	gain hits
cijevi	tubing
usmjerivaCki ureDaj	thrusting device
burkina faso	burkina faso
kvantni	quantum
koji objavljuje	annunciator
ogib na zaobljenom vrhu	rounded top ridge diffraction
veza toCka-toCka	point-to-point connection
dijeljenje stranica	page break
tamno sivo	dark gray
hidroelektriCna energija	hydroelectric power
vjenCan	married
njihati	rock
psihiCki stres	mental stress
gastropod	periwinkle
prividno zaglavlje	pseudo-header
divergentno	divergently
dobrog vladanja	orderly
tajno obavijestiti	tip
uspostaviti poslovni nastan	establish
sveCano drZanje	solemnity
zaustavni bit	stop bit
uzorak govornog signala za raspoznavanje govornika	voice print
kositar	tin
pukotine	fissures
veliCina diska	disk size
pukotina	split
dati pravo na	to confer a right of
udioniCar	stakeholder
estonac	estonian
vezica za cipele	shoelace
optiCko ispitivanje	optical checking
lijepak	stickler
ukloniti pridodavanja	remove attachments
analiza tla	soil analysis
voditi posao	negotiate
fonoloSko ustrojstvo	phonological system
pi-participacija	pi-participation
pri uvozu u hrvatsku	on importation into croatia
vrijednost prijenosa	transfer value
dramaturSki model	dramatrugical model
distribucijski kabel	distributing cable
